"Datum";"Test reactie";"Volledig ingevuld";"Welk cijfer geef je je bezoek aan de Science Day?";"Wat vond je het leukste programma onderdeel en waarom?";"Wat vond je het minst leuke programma onderdeel en waarom?";"Met hoeveel personen heb je Science Day bezocht?";"Wat is de leeftijd van de personen met wie je Science Day hebben bezocht?";"Wat is de nationaliteit van de personen met wie je Science Day hebben bezocht?";"Waarom heb je Science Day bezocht? (meerdere antwoorden mogelijk)";"Heb je al eerder Science Day bezocht?";"Hoe ben je naar Science Day gekomen?";"Wat vond je van het parkeerbeleid?";"Via welk kanaal heb je van de Science Days gehoord?";"In welke mate zou je ons event aanraden aan een vriend of kennis?            ";"Wat zouden wij kunnen doen om de ervaring voor jou te verbeteren in de toekomst?";
"2023.10.23 10:55:03";"N";"Y";"9";"auto maken";"";"2";"6 en 41";"Nederlands ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 10:56:45";"N";"Y";"9";"great learning experience for children, and adults";"not available tickets after lunchtime for some activities";"2";"39 and 7";"Bulgarian";"Interesse in techniek";"Ja";"Openbaar vervoer";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"maybe do it more often as there is a lot of interest and not enough tickets";
"2023.10.23 10:57:39";"N";"Y";"7";"Mad Science";"";"4";"37,35,8,6";"Nederlands";"Het is in de buurt, Interesse in techniek";"Nee";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"De kaartjes voor het workshop gedeelte waren heel snel op. Dat was jammer wij waren er om half 1 en konden helaas alleen nog de Mad Science show bemachtigen. Deze was wel super leuk!";
"2023.10.23 10:59:18";"N";"Y";"8";"AI onderdeel bij Dream hall";"Microscopie, dit hadden we al eerder bijna hetzelfde gedaan";"2";"8 en 43";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in de TU Delft";"Nee";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), reclameborden in de stad, familie, vrienden of kenissen";"Zeker weten";"Van tevoren inschrijven voor workshops (nu was alles vol na 20 minuten in de rij staan). Workshops voor kinderen van 8+ kunnen ook zonder ouders, dan is het ook minder druk";
"2023.10.23 10:59:47";"N";"Y";;"We waren met onze kleinzoon van 5 jaar. De vliegende drones en de wijze waarop hij door jullie betrokken werd ..genoot hij van .";"De lange wachtrijen.";"3";"69, 62 en 5";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Leerzaam";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Jullie doen al heel erg jullie best. Maar kortere wachtrijen zou fijn zijn.";
"2023.10.23 11:04:08";"N";"Y";"8";"Robot maken en alle andere DIY onderdelen.";"Als ouder: wachten in de rij voor VR";"3";"11,48, 49";"Nederlands";"Het is in de buurt, Interesse in techniek";"Ja";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 11:05:10";"N";"Y";"8";"Doe stations zijn erg leuk evenals presentatie ";"-";"4";"8,8,42,42";"Nl";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Ik vond de kaartjes voor de voorstelling erg onduidelijk. Wij waren later en blijkbaar waren deze op, maar we wisten dit niet op een andere manier dan toen we in de rij hadden gestaan en bij de deur kwamen. ";
"2023.10.23 11:05:47";"N";"Y";"6";"Koraalrif. Lekker creatief, veel mogelijkheden";"Workshops. Deze waren rond 11.05 ongeveer al allemaal uitverkocht.";"4";"5,8, 37 en 41";"Nederlands";"Het is in de buurt, Interesse in techniek, Anders, namelijk: Kinderen zijn geïnteresseerd in proefjes en microscopen etc.";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), reclameborden in de stad";"Neutraal";"Minder druk, workshops van te voren reserveren, maximaal workshops per persoon zodat een ander ook iets heeft, duidelijkere rijen bij de doorlopende activiteiten (werd nu vaak voorgedrongen via zijkanten), activiteiten korter maken, bijvoorbeeld bij de vr duurde de rij lang, elk kind wat korter laten gaan, bij de 3D pennen was het wachten ook lang, dus ipv helemcreatief gewoon een rondje, vierkantje of hartje en dan de volgende. Duidelijker mbt zwerfafval inleveren. Onze kinderen hadden afval verzameld gedurende het lopen tussen de gebouwen, komen we bij de wagen, blijkt dat alleen bepaald soort afval mee mocht doen. Teleurgesteld natuurlijk. En wat meer eet tentjes en/of keuze. Was nu alleen de mogelijkheid tot frites. Misschien iets van belegde broodjes oid?";
"2023.10.23 11:06:09";"N";"Y";"9";"Raketten vliegtuigen en drones";"";"5 of meer";"9-14";"Nl";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 11:06:16";"N";"Y";"9";"Dochter vond mad scientist het leukts";"3d printen net natuurlijke produkten, dochter vond de stank niet te harden";"2";"10, 54";"Nl";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"reclameborden in de stad, anders, namelijk: Folder";"Zeker weten";"Gratis flesjes water , er waren heel veel activiten, maar dat je max 2 vd 4 activiteiten met tickets kon boeken was niet meteen helder. Mooi event";
"2023.10.23 11:06:29";"N";"Y";"10";"";"";"2";"3 + 38";"Dutch and Swiss/South African";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Zeker weten";"More options for food (maybe packed lunch take aways for kids etc.) Would be easier for parents. Activities seemed to be quite spread over the campus so clearer sign boards would be helpful or people directing the crowds. Awesome event in general! Well done. PS. maybe charge a small entrance fee like 2 Euro (a small fee means people attribute value to the event). ";
"2023.10.23 11:07:16";"N";"Y";"5";"De muziekdoosje met geperforeerd papier, omdat daar plek was om deel te nemen aan de activiteit";"Door de mircoscopen kijken naar algen, omdat er geen begeleiding en/of uitleg bij was";"5 of meer";"9, 11, 13, 17 & 42";"Nederlands";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Antoni van Leeuwenhoek jaar, met aandacht voor organismen (bacterien & dna)";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Niet";"Bij de ticketverkoop ook optie om in te schrijven voor de workshops, het kan niet dat halverwege de dag alles al tot het eind volgeboekt was, zonder van te voren te weten dat het de bedoeling was om aan het begin van de dag al in te schrijven. Enorme teleurstelling!";
"2023.10.23 11:07:59";"N";"Y";"9";"de waterhuishoudingbak in Green Village, Green Village in het algemeen, duurzaamheidsliefhebbers hier thuis en treinbaanliefhebbers (vandaar die bak)";"Geen idee, het was al leuk dat zoveel mensen hun best deden om hun onderzoek te delen";"5 of meer";"6,8,10,38,46";"Nederlands";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: interesse in wetenschap";"Nee";"Openbaar vervoer";;"familie, vrienden of kenissen";"Zeker weten";"Het was fantastisch leuk";
"2023.10.23 11:08:09";"N";"Y";"9";"Tandenborstelrobot";"Bouw je eigen robot. De kinderen vonden het echter fantastisch. Wij vonden dat er te weinig tijd was en de groep te groot. ";"4";"54, 46, 9 en 7 jaar";"Nederlandse";"Interesse in techniek, Anders, namelijk: Orienteren ";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"We hebben een topdag gehad. Zoveel te doen! Tip: informatie omtrent activiteiten verbeteren, meer spreiden over de verschillende locaties? Wij waren al onze tijd kwijt aan 'gebouw rood'. Maar dat is daarmee reden om volgend jaar weer te komen!";
"2023.10.23 11:08:44";"N";"Y";"7";"Enthousiasme van de vrijwilligers";"Kaartjes opgehaald voor workshop maar vervolgens was het vol bij aankomst in de zaal.Kaartjes zouden per kind uitgedeeld moeten worden. ";"4";"9 en 11";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Onduidelijk";"website TU Delft Science Centre";"Wellicht";"Onduidelijk of parkeren betaald is. En verder geen verkooppunt van drinken zoals water";
"2023.10.23 11:09:05";"N";"Y";"7";"De algehele opzet is heel leuk gedaan";"Soms wel lange wachtrijen en niet duidelijk wie er aan de beurt is. ";"3";"9,12 en 40";"Nederlandse ";"Het is in de buurt, Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), familie, vrienden of kenissen";"Waarschijnlijk wel";"";
"2023.10.23 11:09:17";"N";"Y";"9";"Mad Science, spectaculair";"Kinder college Lego, te moeilijk voor kindje van 4.";"3";"4, 38, 45";"NL, NL, Vietnamees";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"anders, namelijk: boekje van basisschool";"Waarschijnlijk wel";"";
"2023.10.23 11:11:24";"N";"Y";"7";"Hersenscan onderzoek";"nvt";"3";"10";"NL";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Onduidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Meer verkooppunten van drinken. Koffie was halve dag niet beschikbaar en de snackbar mocht geen (fris)dranken verkopen.";
"2023.10.23 11:12:09";"N";"Y";"7";"Stempels halen, daarvoor kwam je overal langs.";"De rij om een patatje te kunnen halen.";"5 of meer";"1 tot 63 jaar";"Nederlandse";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Lopend";;"anders, namelijk: EWI nieuwsbrief";"Waarschijnlijk wel";"Meer foodtrucks en mogelijkheid om te kunnen pinnen voor koffie. 'Technische' universiteit en pinnen werkt niet...";
"2023.10.23 11:12:16";"N";"Y";"9";"Mad Science Show & NEMO Show";"";"2";"6";"Nederlanders / Duits";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"reclameborden in de stad";"Zeker weten";"meer en beter Eten (i.e. Sandwich) zul leuk zijn";
"2023.10.23 11:13:34";"N";"Y";"10";"Enthousiastic students, a wide range of projects shown, lots to do and see";"Food provision - one food truck with almost no vega options (apart from fries), with a long line.";"4";"11, 14, 44, 52";"Dutch, Polish";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Lopend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"A non-content related remark - Could you please offer vegetarian food options.";
"2023.10.23 11:13:44";"N";"Y";"8";"De mad Sieneke ";"";;"";"";;;;;;;"";
"2023.10.23 11:15:25";"N";"Y";"8";"Mad science show";"";"3";"9 en 5";"Nederlands";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 11:15:53";"N";"Y";"8";"Diversen, geen voorkeur";"Echo Mad Science: iets te simpel voor onze kids, 8-11 jaar, wel top gepresenteerd hoor, echt leuk gedaan.";"4";"8,10,11, 49";"NL";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Netwerken voor mijzelf";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"";
"2023.10.23 11:15:58";"N";"Y";"9";"Green village, de kinderen vonden race auto maken leuk en alles erom ook";"VR box, duurde veel te lang. Ze konden beter een beperkte tijd geven pp";"4";"40, 41, 8 en 6";"Nederlands";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Kinderen ermee laten kennismaken alvast voor later ";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Weet even zo niet te zeggen";
"2023.10.23 11:16:50";"N";"Y";"6";"Makers space bezoek ";"Mad Science ";"3";"69, 32, 10";"Nederlands";"Het was een gratis evenement, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"De projecten waren veels te snel al op. Wij waren er om11.15 en kon je de bouw je eigen robot en meerdere workshops niet meer inschrijven. Vond het niet slim dat hele families kaarten kreeg in en zodoende veel kinderen niet aan de buurt kwam";
"2023.10.23 11:18:19";"N";"Y";"4";"Science show";"Alles was veel en veel te druk. ";"3";"7 en 10";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"nieuwsbrief TU Delft Science Centre";"Wellicht";"Veel te druk, ook de tickets die je dit jaar moest aanschaffen waren hele rijen. Verspreid het over meerdere dagen. Laat mensen van te voren tickets kopen desnoods. Maar dit was echt niet leuk meer. ";
"2023.10.23 11:20:23";"N";"Y";"7";"We hebben niet alles gezien: de robotauto’s besturen";"We hebben niet alles gezien: alles was leuk en interessant.";"4";"1, 5, 9 en 41 jaar";"Nederlands ";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;"anders, namelijk: Gehoord van medewerkers van Science Centre";"Waarschijnlijk wel";"Toegangskaarten voor activiteiten verspreid over de dag weggeven. Nu was alles snel “uitverkocht”. Meer spelelementen verwerken in de presentatie van de onderzoeken en technieken, waardoor het voor kinderen aantrekkelijker is. Bij de activiteiten ook plekjes voor jonge kinderen om materialen te ontdekken (ermee spelen). ";
"2023.10.23 11:21:29";"N";"Y";;"College microbiologie,  nostalgie ";"Alle workshops waren om half 12 al vol";"4";"9. 11 en 40tigers";"Surinaamse Nederlandse ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Meer plekken of limiet op mensen";
"2023.10.23 11:26:19";"N";"Y";"7";"living reef (?), zelf knutselen";"";"2";"7";"Nederlands";"Geen speciale reden";"Nee";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"Het was veel te druk; tickets waren al heel snel op (wij hebben een half uur voor niets in de rij gestaan). Volgend jaar bijv. totaal minder mensen toelaten/spreiden over meerdere dagen. Speciale tickets vantevoren direct online boeken en niet ter plaatse.";
"2023.10.23 11:27:38";"N";"Y";"8";"Robots maken";"";"4";"4, 7, 37, 41";"Nederlands ";"Het was een gratis evenement, Het is in de buurt, Anders, namelijk: Goede reviews mensen die eerder deelnamen ";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Het was op sommige plekken erg druk ";
"2023.10.23 11:28:15";"N";"Y";"9";"Dat je zelf iets kon maken zoals een mini robot van tandenborstel ";"In het blauwe gebouw. Was vorig jaar naar mijn mening groter? Meer te zien en te doen.";"4";"45,44, 11 en 8";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Elk jaar steeds weer andere activiteiten/knutsels die je kan doen. Dat hebben jullie dit jaar ook gedaan, dus was top.";
"2023.10.23 11:28:54";"N";"Y";"9";"VR box, gaaf!";"VR box, erg lang wachten";"2";"50 en 9";"Nederlandse";"Het was een gratis evenement, Interesse in techniek";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 11:30:38";"N";"Y";"7";"Dingen maken / bouwen";"Geen";"4";"8,10,40,41";"Nvt";"Anders, namelijk: Nieuwsgierig en leuk om de kinderen iets nieuws te laten ervaren";"Nee";"Auto";"Onduidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Actieve personen bij parkeeringang, ";
"2023.10.23 11:31:00";"N";"Y";"9";"Dingen maken";"";"5 of meer";"6 tot 10 jaar";"";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;;"Zeker weten";"";
"2023.10.23 11:31:35";"N";"Y";"9";"Alle losse stands en inloopmogelijkheden ";"We konden geen workshops meer volgen. Die zaten al vol tegen de tijd dat we aankwamen (12 uur) ";"5 of meer";"9 en 12 (en twee volwassenen) ";"Nederlands";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"anders, namelijk: Website en programma van cultuurbarbaren ";"Zeker weten";"Meer aanbod van gezonde snacks of eten. ";
"2023.10.23 11:31:37";"N";"Y";"8";"ECHO";"Aarde & Water";"5 of meer";"6 t/m 13";"nederlands";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"ECHO show ook wat uitleg geven, de kinderen boven de 12 vonden het iets te kinderachtig ";
"2023.10.23 11:33:00";"N";"Y";"7";"science center face detection";"science center markt";"4";"5,9,40,40";"nederlands";"Interesse in techniek";"Nee";"Fietsend";;"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"de activiteiten waren erg druk, moeilijk om er tussen te komen en mee te doen met een activiteit. ";
"2023.10.23 11:40:13";"N";"Y";"10";"Dreamhal was ontzettend leuk en ook de workshops.";"Te weinig tijd, er was tegeel";"2";"10 en 47";"Nederlands";"Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 11:40:14";"N";"Y";"6";"";"Het was veel te druk en te smal om de hoeveelheid bezoekers op een veilige manier te kunnen bewegen.";"4";"4, 7, 39 en 40";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"nieuwsbrief TU Delft Science Centre";"Neutraal";"De plek waar de kaartjes voor de workshops was niet ideaal, er stond een hele lange rij waardoor je er niet meer langs kon. Bovendien werden alle kaartjes direct weggegeven, dus als je achteraan stond, had je nagenoeg niks meer. Het zou fijner zijn als je vooraf een plek kunt reserveren (bv max 2 per persoon). Dan hoef je daar niet in de rij én het is eerlijker verdeeld. Ook zou je met tijdsloten kunnen werken, zodat de bezoekers verdeeld worden over de dag. Dan wordt het ook gelijk wat veiliger. (www.tijdprikker.nl biedt hier een mooie gratis dienst voor aan).";
"2023.10.23 11:42:43";"N";"Y";"9";"Voor de kids was het science center zelf het leukst. Veel zelf doen, dat vinden ze het leukst (bijv VR bril en drones besturen) Maar ook de spaghettibrug maken was leuk.";"Jammer dat de workshops om 14 u al waren uitverkocht en weinig drink punten langs de route";"3";"53 en 2 jongens van 11 jaar";"Nederlands";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"anders, namelijk: email ontvangen (werknemer)";"Zeker weten";"Iets meer drinkpunten (gewoon water is voldoende!) en een betere verdeling van tickets voor mensen die de drukte willen ontlopen en daarom later komen. Verder was het echt super leuk, bedankt!";
"2023.10.23 11:43:13";"N";"Y";"7";"Build your own robot. Kind was actief met iets technologisch en elektronisch bezig.";"Green village. Niet duidelijk voor kind wat er gebeurde.";"2";"8";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek";"Nee";"Auto";"Neutraal";"anders, namelijk: via school";"Waarschijnlijk wel";"Beter eet en drink gelegenheid. Er was friet maar zag er niet uit. Geen drinken. Zoon had veel dorst. Toevallig ergens kraan kunnen vinden om met de hand te drinken, er waren geen bekers.";
"2023.10.23 11:45:29";"N";"Y";"10";"Alles";"";"5 of meer";"6,10,11,43,44";"Nederlands";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Ik zou graag op de hoogte blijven van de datum van de science day volgend jaar!";
"2023.10.23 11:45:48";"N";"Y";"9";"Moeilijk... De Mad Science show was heel leuk. En de wastebar!";"";"4";"5, 8, 39, 42";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Het kindercollege over het leven is als lego had nog meer op kinderen gericht kunnen zijn, een enthousiastere spreker. Maar zoon van 8 (hoogbegaafd dus niet helemaal representief) vond het wel heel interessant!";
"2023.10.23 11:46:19";"N";"Y";"8";"Mad Science, leuke show voor de kinderen ";"";"4";"8, 11, 44, 47";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), familie, vrienden of kenissen";"Waarschijnlijk wel";"Het was erg druk bij de (doorlopende) activiteiten en workshops . Toen we om 12:15u aankwamen konden we bij geen enkele workshop meer terecht terwijl mensen die eerder waren zich mogelijk voor meerdere dingen hebben opgegeven maar niet zijn gekomen. Misschien kan er een max op het aantal te volgen workshops pp worden gezet zodat iedereen een eerlijk kans heeft? Ook was meer etensplekken dan alleen een frietkraam en 2 koffiekarren fijn geweest!";
"2023.10.23 11:47:08";"N";"Y";"6";"Geen idee";"Dat de events al uitverkocht waren. We hadden bv graag de collegezaal ervaren/gezien.";"3";"13,13,52";"Nl";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Neutraal";"De tickets voor de events waren snel uitverkocht, had ik dat geweten waren we eerder gekomen. Graag  ook aandacht voor de interesse van pubers, mag iets hoger van niveau. Meer foodtrucks. Meer aanbod voor drinken of watertaps.";
"2023.10.23 11:47:35";"N";"Y";"9";"Dream hall";"geen idee";"3";"10 en 50+";"NL";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Geen idee. Alles goed georganiseerd met enthousiaste mensen";
"2023.10.23 11:47:46";"N";"Y";"10";"Dreamhal en workshops";"Te weinig tijd en te veel te zien/doen";"2";"10 en 47";"Nederlands";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Dochter bezoekt Junior Colleges";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Zeker weten";"Misschien meer spreiding over terrein? Was nu vooral erg druk bij Science Center. Vooraf inschrijven voor workshops?";
"2023.10.23 11:48:37";"N";"Y";"8";"Raketten bouwen";"-";"3";"34 en 75";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Waarschijnlijk wel";"";
"2023.10.23 11:50:57";"N";"Y";"5";"Een bril maken met de 3D pen: daar hoefden we niet te wachten om zelf iets te maken";"Verder weinig gedaan: lange rijen, te druk, onoverzichtelijk";"4";"38, 7, 3";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Fietsend";;"reclameborden in de stad";"Niet";"Wachtrijen verminderen door bij inschrijving al te laten reserveren voor activiteiten, bv. maximaal 2 activiteiten per groep";
"2023.10.23 11:56:13";"N";"Y";"10";"Workshops, enorm veel aanbod";"Lange rijen en nog weinig kaartjes beschikbaar voor workshops";"4";"8,  11, 49 en 45";"Nederlandse";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"website TU Delft Science Centre";"Zeker weten";"Kaarten workshops anders uitdelen (online inschrijven, meerdere uitgifte punten)";
"2023.10.23 12:00:01";"N";"Y";"8";"gesprekken met de robotbouwers, en de dreamteams";"ik vond het jammer dat de robotbouw workshop om 12:00 al vol zat voor de rest van de dag";"3";"12, 14, 53";"nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: voor middelbare scholieren beter zien wat er mogelijk is op de TU Delft qua studie en werk";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"misschien meer workshops beschikbaar maken voor het robot bouwen, dat je misschien al vantevoren online kan reserveren, zodat jullie kunnen zien hoeveel interesse er is, en mogelijk meer plaatsen beschikbaar zouden kunnen maken. Het is ook wel fijn dat er nog plekken beschikbaar zijn op de dag zelf. Wij hebben zoveel interesse in de workshop robot bouwen dat we ook nog wel zullen komen als u dat in een mailing aan zou kondigen dat dat nog mogelijk is op een andere dag, als wij op dat moment ook kunnen.";
"2023.10.23 12:00:11";"N";"Y";"10";"Scheikunde, spectaculair en heel leuk gebracht!";"Geen een";"3";"6, 9, 48";"Nederlandse";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;"nieuwsbrief TU Delft Science Centre, familie, vrienden of kenissen";"Zeker weten";"Vooral zo mooi doorgaan! Van harte bedankt!";
"2023.10.23 12:00:42";"N";"Y";"10";"Mad science - paste bij de leeftijd";"Drukte bij welkombalie / kaartjes";"2";"6 & 37";"NL";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Duidelijker de activiteiten groeperen (luisteren / praten / kijken / doen, basis (kleuters) / ? (middenbouw) / ? (bovenbouw) / gevorderd etc. en online kaartjes claimen (geen rij)";
"2023.10.23 12:03:54";"N";"Y";"10";"De workshops, lekker actief en creatief";"Heb ik niet";"3";"51, 44, 11";"Nederlandse";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Niks! Wij vonden het super leuk en komen volgend jaar zeker weer";
"2023.10.23 12:09:41";"N";"Y";"7";"Maken van robotje";"Mad science viel wat tegen, was alleen maar droogijs in water, en varianten hierop.";"4";"3, 5 en 37";"NL";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Meer opties eten en drinken. Eten was alleen patat en drinken was of uitverkocht of pinstoring. Of duidelijk vermelden vtv (dan hadden we zelf wat meegenomen).";
"2023.10.23 12:11:27";"N";"Y";"8";"Hyperloop, mooie ontwikkeling";"-";"2";"13 en 63";"Nederlandse";"Het is in de buurt, Interesse in techniek";"Ja";"Auto";"Duidelijk";"website TU Delft Science Centre";"Waarschijnlijk wel";"Doelgroep kinderen iets ouder.Nu waren de activiteiten erg op jonge kinderen gericht vond mijn dochter van 13.";
"2023.10.23 12:16:33";"N";"Y";"9";"Science ";"Duurzaam ";"5 of meer";"1, 6, 8, 39, 56, 59";"Nederlandse ";"Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"anders, namelijk: E-mail. ";"Zeker weten";"Geen";
"2023.10.23 12:22:58";"N";"Y";"7";"Dat het kinderen nieuwsgierig maakt";"Dat je heel veel mensen van de TU weinig instructies hadden meegekregen en daardoor je niet verder konden helpen";"3";"3 jaar en 52 jaar";"Nederlandse";"Het is in de buurt, Interesse in de TU Delft";"Nee";"Fietsend";;"reclameborden in de stad";"Waarschijnlijk wel";"Iets meer eettenten waardoor je de vibe beter ervaart!";
"2023.10.23 12:24:20";"N";"Y";"7";"";"";"5 of meer";"8 tot 50";"Nederlands ";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";;"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"";
"2023.10.23 12:25:33";"N";"Y";"10";"";"";"4";"";"";;"Nee";"Openbaar vervoer";;"anders, namelijk: Kite educatie ";"Zeker weten";"";
"2023.10.23 12:27:37";"N";"Y";"8";"Dat je zelf mocht freubelen";"Alleen maar luisteren";"5 of meer";"5 tot 39";"Nl";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Binnen kijken waar je zelf niet snel komt.  ";"Ja";"Fietsend";;"anders, namelijk: School krant en cultuurbarbaren";"Zeker weten";"Minder file voor activiteiten ";
